Brand,Title,Price,Color,Category,Style,Print,Finish,Fabric,Details,Listed
Essentiel Antwerp,Ihassachusetts mini dress,434,light blue,Dress,Sleeve,solid,none,Polyester,New Season,FARFETCH ID:  30459752
Golden Goose,ribbed V-neck cardigan,633,cream,Knitwear,Sleeve,solid,Fabric,Cotton,New Season,FARFETCH
ISABEL MARANT,Off-the-shoulder draped satin-jersey midi dress,890,Black,Dress,Sleeve,solid,Material," acetate,  polyamide",New season,Product Code 46376663162929277
Jenny Packham,Ursa embellished-neck midi dress,3426,chilli red,Dress,Sleeve,solid,Embellished,Polyester,New Season,FARFETCH ID:  31282320
JW Anderson,contrasting-trim tank top,509,off-white,Top,Sleeve,solid,none,Cotton,New Season,FARFETCH
L'IDÉE,pleated strapless gown,1049,teal,Dress,Sleeve,solid,Fabric,Polyester,New Season,FARFETCH
Magda Butrym,floral-appliqué midi dress,2331,beige,Dress,Sleeve,solid,Fabric,Lyocell,New Season,FARFETCH
Miu Miu,ribbed-knit polo shirt,2820,light pink,T-shirt,Sleeve,solid,Fabric,Cashmere,New Season,FARFETCH ID:  31791800
NISSA,double-breasted midi dress,1205,black,Dress,Sleeve,solid,Fabric,Polyester,New Season,FARFETCH
Oscar de la Renta,embroidered belted midi dress,5568,dusty rose,Dress,Sleeve,Floral,Embellished,Virgin wool,New Season,FARFETCH ID:  31097146
Oscar de la Renta,fern-print belted midi dress,6843,black,Dress,Sleeve,Floral,none,silk,New Season,FARFETCH
PINKO,feather-embellished dress,1839,white,Dress,Sleeve,solid,Embellished,Polyester,New Season,FARFETCH
Prada,adjustable-straps knitted top,1750,brown,Top,Sleeve,solid,Fabric,Virgin wool,Runway,FARFETCH ID:  31470287
Prada,floral-print ribbed tank top,1480,pink,Top,Sleeve,Floral,Fabric,Cotton,Runway,FARFETCH ID:  31284673
ROTATE BIRGER CHRISTENSEN,corset maxi dress,736,black,Dress,Sleeve,solid,Fabric,Polyester,New Season,FARFETCH
ROTATE BIRGER CHRISTENSEN,puff-sleeve midi dress,458,navy blue,Dress,Sleeve,solid,none,Polyester,New Season,FARFETCH
Simkhai,scarf-detail sleeveless maxi dress,1410,grey,Dress,Sleeve,solid,Fabric,Wool,New Season,FARFETCH
Solace London,asymmetric dress,1220,black,Dress,Sleeve,solid,none,Polyester,New Season,FARFETCH
Solace London,Blake bell-sleeve maxi dress,1281,pink,Dress,Sleeve,solid,none,Polyester,New Season,FARFETCH
Taller  Marmo,Yacare one-shoulder fringe swimsuit,781,burgundy,Swimwear,Sleeve,solid,Embellished,Nylon,New Season,FARFETCH ID:  31311903
The New Arrivals Ilkyaz Ozel,Sisu maxi dress,2115,pink,Dress,Sleeve,solid,none,Polyester,New Season,FARFETCH
THE ROW,Levi cashmere tank,1300,Dark brown,Knitwear,Sleeve,solid,Material,cashmere,New season,Product Code 46376663162862016
TOM FORD,asymmetrical draped gown,4563,ivory,Dress,Sleeve,solid,none,Viscose,New Season,FARFETCH ID:  30413503
Tory Burch,Pointelle polo sweater,597,dark brown,Knitwear,Sleeve,solid,Fabric,Cotton,New Season,FARFETCH ID:  31583085
ZIMMERMANN,Hypnotic asymmetric-hem midi dress,5587,black,Dress,Sleeve,solid,Fabric,Polyester,New Season,FARFETCH ID:  31741471
ZIMMERMANN,Hypnotic floral-print puff-sleeve mini dress,1411,lilac poppy,Dress,Sleeve,Floral,none,Linen/Flax,New Season,FARFETCH ID:  31791841
ZIMMERMANN,Paisley-print silk-satin shirt,675,Cream,Shirt,Sleeve,Floral,Material,silk,Runway,Product Code 46376663162884617
ZIMMERMANN,Coco broderie anglaise-trimmed ramie blouse,775,Cream,Top,Sleeve,solid,none,ramie,New season,Product Code 46376663162877586
ZIMMERMANN,Hypnotic paisley-print silk shirt,675,Multi,Shirt,Sleeve,Floral,Material,silk,Runway,Product Code 46376663162859591
